N°,DELEGACION,MERCADO,NUM_OFIC,NUM_LOCALE,Coord_Y,Coord_X,DIRECCION,COLONIA,TIPO,SUPERF_M2,INAUGURACI,ANTIGÜEDA,VOCACIÓN,DETALLE,FORMA,NIVELES,TAMAÑO1,PROTEGIDO,COORGEOG_Y,COORGEOG_X
18,AZCAPOTZALCO,AZCAPOTZALCO,35,546,2154268.07,480539.52674,AV. AZCAPOTZALCO ENTRE ESPERANZA Y RAYON,AZCAPOTZALCO,TRADICIONAL,9346,1957,63,N/D,N/D,CUADRO,1,MEDIANO,SI,-99.1854389999,19.4828719147
20,AZCAPOTZALCO,CLAVERIA,46,98,2152290.31457,480987.33324,IRAPUATO Y CLAVERIA S/N,CLAVERIA,TRADICIONAL,2063,1947,73,N/D,N/D,CUADRO,1,CHICO,NO,-99.1811519999,19.4650029147
17,AZCAPOTZALCO,ARENAL,125,198,2152427.54057,484181.95416,ALAMO Y CALLE 6 ENTRE OLIVO Y CALLE 6,ARENAL,TRADICIONAL,3129,1963,57,N/D,N/D,RECTANGULO,1,CHICO,SI,-99.150715,19.4662709147
29,AZCAPOTZALCO,PROHOGAR,126,641,2153487.53606,483884.41298,CALLE 14 S/N ENTRE CALLES 19 Y 21,PROHOGAR,TRADICIONAL,7167,1963,57,"ROPA, CALZADO Y TELAS",ROPA,CUADRO,1,GRANDE,NO,-99.1535589999,19.4758479147
33,AZCAPOTZALCO,SANTA LUCIA,137,150,2153555.07609,479388.53462,AV. SANTA LUCIA ENTRE CENTEOTL Y ACATL,SANTA LUCIA,TRADICIONAL,3116,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.1963989999,19.4764169147
21,AZCAPOTZALCO,COSMOPOLITA,138,135,2153419.17055,483019.89603,AV. CEYLAN ESQ. ISLAS ALEUTIANAS,POTRERO DEL LLANO,TRADICIONAL,2848,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.1617959999,19.4752229147
35,AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS,141,177,2152574.78656,482885.70615,"TORONJIL Y PEREJIL, ENTRE PIMIENTA Y MEJORANA",VICTORIA DE LAS DEMOCRACIAS,TRADICIONAL,2954,1964,56,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1630669999,19.4675909147
26,AZCAPOTZALCO,OBRERO POPULAR,142,125,2152093.63629,481783.11029,NORTE 67 ENTRE  PONIENTE 54 Y SUR 4,OBRERO POPULAR,TRADICIONAL,1856,1968,52,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1735679999,19.4632329148
25,AZCAPOTZALCO,NUEVA SANTA MARIA,143,126,2152221.87589,482235.38564,"CLAVELINAS ENTRE MEMBRILLO, BEGONIAS Y VID",NUEVA SANTA MARIA,TRADICIONAL,3740,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.1692599999,19.4643959147
19,AZCAPOTZALCO,BENITO JUAREZ,167,123,2153476.38104,481445.00072,AV. RABAUL ENTRE NORTE 81 Y NORTE 79,SINDICATO MEXICANO DE ELECTRICISTAS,TRADICIONAL,2317,1964,56,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1768029999,19.4757259147
34,AZCAPOTZALCO,TLATILCO,194,155,2151962.04981,482934.66446,"ORQUIDEA 35, ENTRE AV. JARDIN Y AV. TLATILCO",TLATILCO,TRADICIONAL,3137,1974,46,N/D,N/D,CUADRO,1,CHICO,NO,-99.1625949999,19.4620539148
32,AZCAPOTZALCO,SAN JUAN TLIHUACA,224,168,2155386.37007,478657.96029,SAN JUAN TLIHUACA Y FORTUNA ZUA ZUA,SAN JUAN TLIHUACA,TRADICIONAL,2991,1962,58,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.2033809999,19.4929589146
22,AZCAPOTZALCO,JARDIN 23 DE ABRIL,227,154,2154215.51563,477403.4422,"AV. 23 DE ABRIL Y LIBERATO LARA, ENTRE ADRIAN CASTREJON Y JOAQUIN AMARO",AMPLIACIÒN SAN PEDRO XALPA,TRADICIONAL,3495,1969,51,N/D,N/D,IRREGULAR,1,CHICO,NO,-99.2153219999,19.4823639147
23,AZCAPOTZALCO,JARDIN FORTUNA NACIONAL,228,71,2154035.83826,478467.7756,"CAMPO FORTUNA NACIONAL, ENTRE  CAMPO VERDE Y CAMPO TASAJERA",AMPLIACIÒN PETROLERA,TRADICIONAL,3140,1973,47,N/D,N/D,IRREGULAR,1,CHICO,NO,-99.2051779999,19.4807519147
30,AZCAPOTZALCO,PROVIDENCIA,247,143,2155226.23167,477582.05411,"CALLE LUCIO BLANCO, ENTRE FRANCISCO I. MADERO Y VENUSTIANO CARRANZA",PROVIDENCIA,TRADICIONAL,1928,1963,57,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.2136319999,19.4914999146
24,AZCAPOTZALCO,LAMINADORES,250,148,2153983.59438,483642.43427,"MINEROS METALURGICOS, ENTRE LAMINADORES Y CALLES 8 Y 9",TRABAJADORES DEL FIERRO,TRADICIONAL,1491,1972,48,N/D,N/D,IRREGULAR,2,CHICO,NO,-99.1558689999,19.4803289147
27,AZCAPOTZALCO,PANTACO,268,41,2153332.71317,482029.83585,AV. RABAUL Y ADUANAS PANTACO,HOGAR DE LOS F.F.C.C.,ESPECIALIZADO,2494,1963,57,COMIDA PREPARADA Y OTROS,COMIDA PREPARADA,RECTANGULO,1,CHICO,NO,-99.1712289999,19.4744329147
28,AZCAPOTZALCO,PASTEROS,276,122,2155744.72243,479275.82019,JACARANDAS ENTRE DURAZNOS Y CIRUELOS,PASTEROS,TRADICIONAL,1601,1963,57,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1974969999,19.4962039146
59,COYOACÁN,COYOACAN,89,464,2139865.46056,483038.47198,"XICOTENCATL, ENTRE MALITZIN Y ALLENDE",DEL CARMEN COYOACAN,TRADICIONAL,8222,1957,63,COMIDA PREPARADA Y OTROS,COMIDA PREPARADA,CUADRO,1,MEDIANO,SI,-99.1614979999,19.3527349151
67,COYOACÁN,PRADO CHURUBUSCO,130,117,2140013.178,486769.43445,OSA MENOR ENTRE ORION Y PEGASO,PRADO CHURUBUSCO,TRADICIONAL,1990,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.125975,19.3540979151
70,COYOACÁN,SANTA URSULA COAPA (PESCADITOS),154,268,2135331.98316,484206.73509,"SAN GONZALO MZ. 933 LT. 2, ENTRE SAN BENJAMIN Y SAN CASTULO",SANTA URSULA COAPA,TRADICIONAL,5428,1970,50,N/D,N/D,IRREGULAR,1,MEDIANO,NO,-99.1503369999,19.3117739152
61,COYOACÁN,EL RELOJ,155,90,2136095.72276,485237.39601,"CAL.CALIZ Y PRIMAVERA,CDA DE CALIZ",EL RELOJ,TRADICIONAL,1175,1962,58,N/D,N/D,CUADRO,1,CHICO,NO,-99.1405319999,19.3186839152
73,COYOACÁN,XOTEPINGO,157,124,2138243.05151,484816.89521,LAS ROSAS Y NOCHE BUENA,CIUDAD JARDIN,TRADICIONAL,2347,1966,54,N/D,N/D,CUADRO,1,CHICO,NO,-99.1445519999,19.3380869151
57,COYOACÁN,CHURUBUSCO,171,157,2139536.79813,484554.35518,"MARTIRES IRLANDESES, ENTRE JUAN AGUILAR Y LOPEZ  Y PAZ MONTES DE OCA",HEROES DEL 47,TRADICIONAL,3218,1962,58,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1470619999,19.3497769151
54,COYOACÁN,AVANTE,180,101,2136922.82069,485826.20545,AV. DEL PARQUE Y RETORNO 50 S/N,AVANTE,TRADICIONAL,3224,1967,53,N/D,N/D,CUADRO,1,CHICO,NO,-99.1349329999,19.3261629152
68,COYOACÁN,RUIZ CORTINEZ (LA CRUZ),199,95,2136101.10608,484101.40892,TEPETLAPA ENTRE CANAZOC Y TEPEPEHU,ADOLFO RUIZ CORTINEZ,TRADICIONAL,1178,1984,36,N/D,N/D,CUADRO,1,CHICO,NO,-99.1513459999,19.3187239152
53,COYOACÁN,AJUSCO MONTSERRAT (LA BOLA),229,233,2136665.22962,483459.23659,TOTONACAS IXTLIXOCHITL (LA BOLA),AJUSCO,TRADICIONAL,7755,1973,47,"ROPA, CALZADO Y TELAS",ROPA,CIRCULO,1,MEDIANO,NO,-99.1574639999,19.3238169152
69,COYOACÁN,SAN FRANCISCO CULHUACAN,236,235,2138015.26224,487048.00812,"HEROICA ESCUELA NAVAL MILITAR # 51, ENTRE AV. TAXQUEÑA Y EJIDO  SAN ANTONIO TOMATLAN",SAN FRANCISCO CULHUACAN,TRADICIONAL,5357,1969,51,N/D,N/D,RECTANGULO,1,MEDIANO,NO,-99.1233089999,19.3360439151
52,COYOACÁN,AJUSCO MOCTEZUMA,237,232,2135471.76637,482947.49409,"AV. CORAS Y NEZAHALPILLI, ENTRE MOCTEZUMA Y SAN GUILLERMO",AJUSCO,TRADICIONAL,5698,1966,54,N/D,N/D,IRREGULAR,1,MEDIANO,NO,-99.1623249999,19.3130269153
60,COYOACÁN,EDUCACION PETROLERA,259,78,2138044.58215,486151.434,AVENIDA 3 Y AVENIDA 5,EDUCACION PETROLERA,TRADICIONAL,1924,1966,54,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1318449999,19.3363029151
65,COYOACÁN,LOS REYES COYOACAN,300,104,2137739.59658,483409.79525,BASALTO Y CANTERA,PEDREGAL SANTO DOMINGO,TRADICIONAL,3987,1988,32,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1579439999,19.3335259151
71,COYOACÁN,SANTO DOMINGO LAS ROSAS,301,105,2137455.81674,482885.80447,AV. PAPALOTL ENTRE ESCUINAPA Y CANAHUTLI,PEDREGAL SANTO DOMINGO,TRADICIONAL,4384,1984,36,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1629299999,19.3309569152
56,COYOACÁN,CARMEN SERDAN,303,116,2136277.15866,488858.83181,MANUELA MEDINA S/N. HERMANAS GONZALEZ Y GERTRUDIS BOCANEGRA,CARMEN SERDAN,TRADICIONAL,1971,1984,36,N/D,N/D,CUADRO,1,CHICO,NO,-99.1060589999,19.3203469152
66,COYOACÁN,MARGARITA MAZA DE JUAREZ,311,102,2135470.08294,487961.09104,"ORIENTAL , ENTRE TEPETLAPA Y TORRE EIFFEL",U.H. ALIANZA POPULAR,TRADICIONAL,1404,1984,36,N/D,N/D,CUADRO,1,CHICO,NO,-99.1146,19.3130479153
63,COYOACÁN,EMILIANO ZAPATA,319,47,2135842.09773,488468.30633,PLAN DE AYALA Y ANENECUILCO,U.H. EMILIANO ZAPATA,TRADICIONAL,837,1985,35,N/D,N/D,CUADRO,1,CHICO,NO,-99.109774,19.3164129152
72,COYOACÁN,SANTO DOMINGO LOS REYES,340,35,2136210.01964,482270.94342,ZIHUATLAN No 25 ENTRE PASCLE Y AHUEJOTE,PEDREGAL SANTO DOMINGO,TRADICIONAL,190,1979,41,N/D,N/D,RECTANGULO,2,CHICO,NO,-99.1687719999,19.3196929152
58,COYOACÁN,COPILCO EL ALTO,347,68,2137550.98808,482071.30915,AV.ANACAHUITLA Y ECUINAPA S/N,PEDREGAL SANTO DOMINGO,TRADICIONAL,514,1988,32,N/D,N/D,RECTANGULO,2,CHICO,NO,-99.1706849999,19.3318099152
64,COYOACÁN,HERMOSILLO,368,45,2139116.53133,486511.03589,AMACUZAC ESQ. QUINCEO,HERMOSILLO,TRADICIONAL,560,1984,36,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1284289999,19.3459929151
62,COYOACÁN,EL VERDE,412,176,2135648.18844,489083.25506,ROSARIO CASTELLANOS Y DOLORES GUERRERO,UNIDAD C.T.M.,TRADICIONAL,2512,2012,8,N/D,N/D,CUADRO,2,CHICO,NO,-99.1039189999,19.3146639152
55,COYOACÁN,BAZAR DEL ARTESANO MEXICANO,414,550,2139582.1633,482831.61692,CALLE FELIPE CARRILLO PUERTO No 25,VILLA COYOACÁN,ESPECIALIZADO,2460,2012,8,N/D,N/D,IRREGULAR,2,MEDIANO,NO,-99.1634649999,19.3501729151
75,CUAJIMALPA,CUAJIMALPA,37,128,2140198.89458,468564.21956,AV. VERACRUZ Y MELCHOR OCAMPO,PUEBLO DE CUAJIMALPA,TRADICIONAL,2784,1962,58,N/D,N/D,CUADRO,1,CHICO,SI,-99.2993179998,19.355573915
78,CUAJIMALPA,SAN MATEO TLALTENANGO,258,32,2138724.12018,470331.70321,MINA Y CDA. DE MINA S/N,SAN MATEO TLALTENANGO,TRADICIONAL,584,1962,58,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.2824659998,19.3422729151
77,CUAJIMALPA,ROSA TORRES,262,159,2141783.3564,469662.18134,"AV. SAN JOSE DE LOS CEDROS ESQ, SAUCE",SAN JOSE DE LOS CEDROS,TRADICIONAL,3600,1975,45,N/D,N/D,IRREGULAR,1,CHICO,NO,-99.2888889999,19.369909915
76,CUAJIMALPA,HUIZACHITO,-378,8,2141935.61749,470533.85505,"CAMINO A HUIZACHITOS/N, NOCHE DE PAZ Y ECHANOVE",HUIZACHITO LA PALMA,TRADICIONAL,4098,1982,38,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.2805909998,19.371298915
168,GUSTAVO A. MADERO,VILLA ZONA,34,938,2154371.39155,487906.37966,5 DE FEBRERO ENTRE MATAMOROS E ITURBIDE,GUSTAVO A. MADERO,TRADICIONAL,31866,1955,65,COMIDA PREPARADA Y OTROS,COMIDA Y ARTICULOS RELIGIOSOS,CUADRO,2,GRANDE,NO,-99.115241,19.4838639146
146,GUSTAVO A. MADERO,RAMON CORONA,45,458,2153623.82799,486935.01795,"CONSTANCIA  S/N, ENTRE RIO BLANCO Y NECAXA",INDUSTRIAL,TRADICIONAL,6599,1963,57,N/D,N/D,CUADRO,1,MEDIANO,SI,-99.1244919999,19.4771019147
123,GUSTAVO A. MADERO,CARRERA LARDIZABAL,50,131,2154221.98519,489536.04409,LUIS DE LA ROSA Y LEON GUZMAN,CONSTITUCION DE LA REPUBLICA,TRADICIONAL,1513,1964,56,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.0997109999,19.4825229147
147,GUSTAVO A. MADERO,RIO BLANCO,53,454,2151907.61456,488181.81282,"CONGRESO DE LA UNION, ENTRE ORIENTE 95 Y ORIENTE 91",MARTIRES DE RÍO BLANCO,TRADICIONAL,6252,1963,57,N/D,N/D,RECTANGULO,1,MEDIANO,NO,-99.1126009999,19.4615999148
129,GUSTAVO A. MADERO,ESTRELLA,54,124,2153461.19569,487843.32543,JOYAS ENTRE OPALO Y ESCUELA,ESTRELLA,TRADICIONAL,2074,1958,62,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.115836,19.4756379147
127,GUSTAVO A. MADERO,DIEZ DE MAYO,56,390,2151309.33965,489012.17905,"ORIENTE 87, NORTE 84 Y ORIENTE 89",NUEVA TENOCHTITLAN,TRADICIONAL,5477,1961,59,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.104686,19.4561979147
133,GUSTAVO A. MADERO,GERTRUDIS SANCHEZ,58,215,2152181.73485,489377.21826,"NORTE 82B ESQ. HENRY FORD, ENTRE NORTE 84 Y NORTE 82",GERTRUDIS SANCHEZ,TRADICIONAL,2773,0,2020,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.101213,19.4640839147
148,GUSTAVO A. MADERO,SALVADO DIAZ MIRON,62,150,2154813.18355,489579.2026,"NORTE 66A, ORIENTE 155 Y NORTE 66",SALVADOR DÍAZ MIRÓN,TRADICIONAL,2257,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.099303,19.4878659146
132,GUSTAVO A. MADERO,GABRIEL HERNANDEZ,69,214,2156273.45177,490026.10891,AV. CENTENARIO Y CERRITO,GABRIEL HERNANDEZ,TRADICIONAL,3925,1964,56,N/D,N/D,RECTANGULO,1,MEDIANO,NO,-99.0950519999,19.5010649146
163,GUSTAVO A. MADERO,VASCO DE QUIROGA,70,212,2155554.08375,490038.09293,BARTOLOME DE OLMEDO Y FRAY JUAN DE PADILLA,VASCO DE QUIROGA,TRADICIONAL,3300,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.094934,19.4945639147
162,GUSTAVO A. MADERO,TRES ESTRELLAS,171,122,2152960.26882,488342.34162,"MARTIRES IRLANDESES, ENTRE JUAN AGUILAR Y LOPEZ  Y PAZ MONTES DE OCA",HEROES DEL 47,TRADICIONAL,3218,1962,58,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1470619999,19.3497769151
143,GUSTAVO A. MADERO,PROGRESO NACIONAL,73,274,2158580.78497,483336.57701,CALLE 28 ENTRE CALLE 11 Y CALLE 12,PROGRESO NACIONAL,TRADICIONAL,5238,1964,56,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.158824,19.5218719146
167,GUSTAVO A. MADERO,VILLA COMIDAS (VIEJO),81,209,2154469.84092,488121.78582,5 DE FEBRERO ENTRE ECHEVERRIA Y PEDRO MARIA ANAYA,GUSTAVO A. MADERO,ESPECIALIZADO,2967,1958,62,COMIDA PREPARADA Y OTROS,COMIDA Y ABARROTES,RECTANGULO,1,MEDIANO,NO,-99.113189,19.4847549147
119,GUSTAVO A. MADERO,AMPLIACION CASAS ALEMAN,116,192,2153533.49307,491202.09704,"PUERTO TAMPICO Y PUERTO ACAPULCO, PUERTO MANZANILLO Y CDA . PUERTO ACAPULCO",AMPLIACIÓN CASAS ALEMÁN,TRADICIONAL,3345,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.0838319999,19.4763089147
138,GUSTAVO A. MADERO,MARTIN CARRERA,117,241,2154724.70149,488773.84151,V. GUERRERO Y JOSE J. HERRERA,MARTIN CARRERA,TRADICIONAL,3713,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.106977,19.4870619147
151,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD I,121,193,2151696.73663,490370.14698,AV. 517 Y 521,SAN JUAN DE ARAGÓN UNIDAD 1,TRADICIONAL,3777,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.09175,19.4597059148
166,GUSTAVO A. MADERO,VICENTE GUERRERO (NUEVA ATZACOALCO),123,386,2156325.81398,491034.83651,CALLE 314 ENTRE CALLE 311 Y 313,NUEVA ATZACOALCO,TRADICIONAL,4958,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.085439,19.5015429146
139,GUSTAVO A. MADERO,MAXIMINO AVILA CAMACHO,127,130,2153496.43123,485530.31079,"PPONIENTE 112, NORTE 1B Y NORTE 1C",M. AVILA CAMACHO,TRADICIONAL,2586,1964,56,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.137876,19.4759409147
140,GUSTAVO A. MADERO,PANAMERICANA,145,430,2153682.09516,484740.94886,PONIENTE 122 Y NORTE 9,PANAMERICANA,TRADICIONAL,7721,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.1453989999,19.4776129147
130,GUSTAVO A. MADERO,FERNANDO CASAS ALEMAN,156,222,2150920.15779,489789.502,"RUBLOS, CAIRO Y PESETAS",CERRO PRIETO,TRADICIONAL,3044,1963,57,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.0972779999,19.4526849148
134,GUSTAVO A. MADERO,JUAN GONZALEZ ROMERO,160,201,2156867.6019,490551.39042,"AV. DE LAS FLORES Y CALLE GLORIA, ENTRE MADRE SELVA Y ALCATRAZ",GONZALEZ ROMERO,TRADICIONAL,3102,0,2020,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.0900489999,19.5064369146
121,GUSTAVO A. MADERO,BONDOJITO,161,181,2152362.71906,488900.51971,HENRY FORD Y NORTE 72A,BONDOJITO,TRADICIONAL,3563,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.105756,19.4657169147
161,GUSTAVO A. MADERO,SANTA ROSA,164,167,2158882.97585,482301.02026,"CALLE 26 , ENTRE CALLE 28A Y CALZ. VALLEJO",SANTA ROSA,TRADICIONAL,2077,1984,36,N/D,N/D,CUADRO,1,CHICO,NO,-99.1686969999,19.5245939146
160,GUSTAVO A. MADERO,SANTA MARIA TICOMAN,176,119,2157963.93012,486013.49404,AV. 21 DE MARZO Y CALLE 1810,BARRIO LA LAGUNILLA,TRADICIONAL,2848,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.133305,19.5163179145
145,GUSTAVO A. MADERO,PUEBLO DE SAN JUAN DE ARAGON,185,64,2152692.21326,491161.90997,"RIO GUADALUPE, JARDIN REVOLUCION Y J. M. MORELOS",PUEBLO SAN JUAN DE ARAGÓN,TRADICIONAL,1131,1960,60,N/D,N/D,IRREGULAR,1,CHICO,NO,-99.0842109999,19.4687059147
149,GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN,188,159,2155249.97507,485244.40034,AV. MONTEVIDEO No 500 ENTRE CALLE LOMA Y MANDUJANO,SAN BARTOLO ATEPEHUACAN,TRADICIONAL,3140,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.1406139999,19.4917859146
158,GUSTAVO A. MADERO,SAN PEDRO ZACATENCO,189,111,2156780.38479,486878.54664,"LA RIOJA Y MANIZALES, ENTRE MANIZALES Y RAMIRIQUI",SAN PEDRO ZACATENCO,TRADICIONAL,3117,1963,57,N/D,N/D,CUADRO,1,CHICO,NO,-99.1250519999,19.5056279146
137,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS (NUEVA VALLEJO),193,86,2154513.40394,484393.4566,"PONIENTE 122, ENTRE NORTE 19A NORTE 21 Y PTE 126",NUEVA VALLEJO,TRADICIONAL,984,1975,45,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.1487169999,19.4851229146
156,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 7,204,190,2152853.8937,492081.46366,"AV. 414, ENTRE 481 Y 483",SAN JUAN DE ARAGÓN UNIDAD 7,TRADICIONAL,4101,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.0754499999,19.4701709147
150,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,205,269,2155443.46285,491966.12224,HIDALGO ENTRE TAMAZULA Y APATZINGAN,SAN FELIPE DE JESÚS,TRADICIONAL,4275,1968,52,"ROPA, CALZADO Y TELAS",ROPA,RECTANGULO,1,MEDIANO,NO,-99.0765599999,19.4935729146
152,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 2,218,108,2151060.81135,491013.95536,"AV. 506, 553 Y 549",SAN JUAN DE ARAGÓN UNIDAD 2,TRADICIONAL,5945,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.0856129999,19.4539619148
153,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 3,219,232,2150820.91336,492468.93359,"AV. 606, 597 Y 595",SAN JUAN DE ARAGÓN UNIDAD 3,TRADICIONAL,3657,1964,56,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.0717499999,19.4517999148
159,GUSTAVO A. MADERO,SANTA ISABEL TOLA,221,67,2156025.66675,487744.73952,CUAUHTEMOC Y CACAMA,STA. ISABEL TOLA,TRADICIONAL,1580,1959,61,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.116792,19.4988129146
141,GUSTAVO A. MADERO,PRADERA,242,106,2153462.91792,492911.02453,MALINCHE Y POPOCATEPETL,LA PRADERA,TRADICIONAL,1967,1963,57,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.0675479999,19.4756779147
122,GUSTAVO A. MADERO,CAMPESTRE ARAGON,272,137,2154596.92875,491792.59267,"CALLE ESFUERZO""A""  ESQ. CAMINO CENTRAL SUR",CAMPESTRE ARAGÓN,TRADICIONAL,2763,1976,44,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.0782099999,19.4859219147
120,GUSTAVO A. MADERO,AMPLIACION GABRIEL HERNANDEZ,277,78,2156804.42607,489537.01921,EVA SAMANO DE LOPEZ MATEOS Y RODOLFO MENDEZ,AMPLIACIÓN GABRIEL HERNANDEZ,TRADICIONAL,2317,1982,38,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.099716,19.5058609146
164,GUSTAVO A. MADERO,VEINTICINCO DE JULIO,302,249,2155727.80609,491330.34821,"EJIDO Y CANAL DE DESAGUE, ENTRE CANAL Y CUAUHTEMOC",VEINTICINCO DE JULIO,ESPECIALIZADO,3002,1978,42,"MUEBLES, FERRETERÍA, JACIERÍA, MIMBRE, CESTERÍA, HERRAMIENTAS, ARTÍCULOS PARA COCINA, ARTÍCULOS ESOTÉRICOS",HERRAMIENTAS,RECTANGULO,1,MEDIANO,NO,-99.0826199999,19.4961399147
157,GUSTAVO A. MADERO,SAN PEDRO EL CHICO,329,51,2152601.11042,489959.63605,AV.TALISMAN Y NORTE 94,SAN PEDRO EL CHICO,TRADICIONAL,1644,1979,41,N/D,N/D,CUADRO,1,CHICO,NO,-99.0956659999,19.4678769147
136,GUSTAVO A. MADERO,MA. ESTHER ZUNO DE ECHEVERRIA,330,90,2154305.57567,487708.51882,AQUILES SERDAN Y FRAY JUAN DE ZUMARRAGA,VILLA GUSTAVO A. MADERO,ESPECIALIZADO,2168,1976,44,COMIDA PREPARADA Y OTROS,COMIDA PREPARADA,CUADRO,1,CHICO,NO,-99.117126,19.4832679146
154,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 4 Y 5,336,169,2151017.37584,493170.99809,CALLE 625 Y CALLE 623 ENTRE CALLE 604 Y CALLE 606,SAN JUAN DE ARAGÓN UNIDAD 4 Y 5,TRADICIONAL,5635,1973,47,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.065062,19.4535779147
